"Genre" "name"
"Pourouma_melinonii" "Pourouma" "Pourouma_melinonii"
"Duroia_aquatica" "Duroia" "Duroia_aquatica"
"Tachigali_paraensis" "Tachigali" "Tachigali_paraensis"
"Oenocarpus_bacaba" "Oenocarpus" "Oenocarpus_bacaba"
"Byrsonima_densa" "Byrsonima" "Byrsonima_densa"
"Protium_gallicum" "Protium" "Protium_gallicum"
"Vantanea_parviflora" "Vantanea" "Vantanea_parviflora"
"Xylopia_pulcherrima" "Xylopia" "Xylopia_pulcherrima"
"Drypetes_fanshawei" "Drypetes" "Drypetes_fanshawei"
"Swartzia_panacoco" "Swartzia" "Swartzia_panacoco"
"Eschweilera_congestiflora" "Eschweilera" "Eschweilera_congestiflora"
"Sandwithia_guyanensis" "Sandwithia" "Sandwithia_guyanensis"
"Parkia_Indet." "Parkia" "Parkia_Indet."
"Inga_melinonis" "Inga" "Inga_melinonis"
"Aspidosperma_spruceanum" "Aspidosperma" "Aspidosperma_spruceanum"
"Ficus_nymphaeifolia" "Ficus" "Ficus_nymphaeifolia"
"Pouteria_fimbriata" "Pouteria" "Pouteria_fimbriata"
"Casearia_sylvestris" "Casearia" "Casearia_sylvestris"
"Pachira_dolichocalyx" "Pachira" "Pachira_dolichocalyx"
"Eschweilera_grandiflora_form2" "Eschweilera" "Eschweilera_grandiflora_form2"
"Buchenavia_grandis" "Buchenavia" "Buchenavia_grandis"
"Diplotropis_purpurea" "Diplotropis" "Diplotropis_purpurea"
"Indet._sp.1CAY-ATDN" "Indet." "Indet._sp.1CAY-ATDN"
"Talisia_praealta" "Talisia" "Talisia_praealta"
"Guatteria_schomburgkiana" "Guatteria" "Guatteria_schomburgkiana"
"Parinari_montana" "Parinari" "Parinari_montana"
"Cupania_rubiginosa" "Cupania" "Cupania_rubiginosa"
"Lecythis_corrugata" "Lecythis" "Lecythis_corrugata"
"Hirtella_racemosa" "Hirtella" "Hirtella_racemosa"
"Sacoglottis_cydonioides" "Sacoglottis" "Sacoglottis_cydonioides"
"Emmotum_fagifolium" "Emmotum" "Emmotum_fagifolium"
"Apeiba_glabra" "Apeiba" "Apeiba_glabra"
"Tachigali_Indet." "Tachigali" "Tachigali_Indet."
"Tachigali_richardiana" "Tachigali" "Tachigali_richardiana"
"Eugenia_sp.FG21-Holst" "Eugenia" "Eugenia_sp.FG21-Holst"
"Micropholis_melinoniana" "Micropholis" "Micropholis_melinoniana"
"Platonia_insignis" "Platonia" "Platonia_insignis"
"Inga_cayennensis" "Inga" "Inga_cayennensis"
"Sloanea_tuerckheimii" "Sloanea" "Sloanea_tuerckheimii"
"Duroia_eriopila" "Duroia" "Duroia_eriopila"
"Calycolpus_goetheanus" "Calycolpus" "Calycolpus_goetheanus"
"Licania_Indet." "Licania" "Licania_Indet."
"Agonandra_silvatica" "Agonandra" "Agonandra_silvatica"
"Couepia_habrantha" "Couepia" "Couepia_habrantha"
"Minquartia_guianensis" "Minquartia" "Minquartia_guianensis"
"Mouriri_Indet." "Mouriri" "Mouriri_Indet."
"Ocotea_Indet." "Ocotea" "Ocotea_Indet."
"Tovomita_sp.3CAY-ATDN" "Tovomita" "Tovomita_sp.3CAY-ATDN"
