idTaxon,Famille,Genre,espece
1480,Phyllanthaceae,Amanoa,congesta
1490,Picramniaceae,Picramnia,latifolia
1493,Polygalaceae,Moutabea,guianensis
1507,Fabaceae,Crudia,bracteata
1522,Fabaceae,Dicorynia,guianensis
1535,Rubiaceae,Coussarea,machadoana
1549,Rubiaceae,Genipa,spruceana
1551,Indet.,Indet.Indet.,Indet.
1562,Rubiaceae,Kutchubaea,insignis
1568,Fabaceae,Hymenaea,courbaril
1569,Fabaceae,Hymenaea,courbaril
1606,Fabaceae,Peltogyne,paniculata
1613,Fabaceae,Recordoxylon,speciosum
1618,Salicaceae,Casearia,rusbyana
1632,Salicaceae,Hasseltia,floribunda
1637,Salicaceae,Indet.Salicaceae,Indet.
1647,Sapindaceae,Cupania,diphylla
1650,Sapindaceae,Matayba,guianensis
1659,Sapindaceae,Matayba,stenodictya
1673,Fabaceae,Swartzia,leblondii
1707,Sapotaceae,Micropholis,acutangula
1708,Sapotaceae,Micropholis,cayennensis
1712,Sapotaceae,Micropholis,porphyrocarpa
1722,Sapotaceae,Pouteria,bilocularis
1723,Sapotaceae,Pouteria,cayennensis
1734,Indet.,Indet.Indet.,Indet.
1734,Sapotaceae,Pouteria,hispida
1736,Sapotaceae,Pouteria,laevigata
1743,Sapotaceae,Pouteria,sagotiana
1753,Indet.,Indet.Indet.,Indet.
1775,Urticaceae,Cecropia,obtusa
1792,Urticaceae,Pourouma,guianensis
1793,Urticaceae,Cecropia,obtusa
1794,Urticaceae,Pourouma,minor
1795,Urticaceae,Pourouma,minor
1810,Celastraceae,Maytenus,oblongata
1858,Urticaceae,Indet.Urticaceae,Indet.
1874,Violaceae,Rinorea,pubiflora
1876,Icacinaceae,Poraqueiba,guianensis
1883,Violaceae,Rinorea,sp.P3
1888,Vochysiaceae,Erisma,floribundum
1892,Chrysobalanaceae,Licania,densiflora
1899,Vochysiaceae,Qualea,tricolor
1901,Indet.,Indet.Indet.,Indet.
1910,Chrysobalanaceae,Licania,kunthiana
1915,Chrysobalanaceae,Licania,latistipula
1920,Violaceae,Paypayrola,guianensis
1946,Chrysobalanaceae,Parinari,campestris
2032,Clusiaceae,Platonia,insignis
2057,Clusiaceae,Tovomita,brasiliensis
2088,Hypericaceae,Vismia,latifolia
2097,Combretaceae,Buchenavia,grandis
2101,Combretaceae,Buchenavia,nitidissima
2721,Ebenaceae,Diospyros,guianensis
2737,Elaeocarpaceae,Sloanea,latifolia
2741,Elaeocarpaceae,Sloanea,guianensis
2881,Euphorbiaceae,Chaetocarpus,schomburgkianus
2938,Indet.,Indet.Indet.,Indet.
2939,Putranjivaceae,Drypetes,variabilis
2950,Euphorbiaceae,Hevea,guianensis
2967,Euphorbiaceae,Mabea,speciosa
3028,Euphorbiaceae,Sagotia,racemosa
3191,Fabaceae,Hymenolobium,excelsum
3273,Fabaceae,Poecilanthe,effusa
3277,Fabaceae,Pterocarpus,officinalis
3278,Fabaceae,Paramachaerium,ormosioides
3309,Fabaceae,Vatairea,erythrocarpa
3310,Fabaceae,Vatairea,guianensis
3345,Ebenaceae,Diospyros,carbonaria
3345,Salicaceae,Casearia,javitensis
3361,Salicaceae,Laetia,procera
